AFFGEOID,name,pop_total,pov_count,rate
0500000US01001,"Autauga County, Alabama",54922,155,0.28221841884854887
0500000US01003,"Baldwin County, Alabama",209618,508,0.24234560009159517
0500000US01005,"Barbour County, Alabama",22417,344,1.5345496721238345
0500000US01007,"Bibb County, Alabama",20632,201,0.9742148119426135
0500000US01009,"Blount County, Alabama",57108,139,0.24339847306857182
0500000US01011,"Bullock County, Alabama",9784,205,2.095257563368765
0500000US01013,"Butler County, Alabama",19540,108,0.5527123848515866
0500000US01015,"Calhoun County, Alabama",111542,404,0.36219540621469937
0500000US01017,"Chambers County, Alabama",33103,177,0.5346947406579464
0500000US01019,"Cherokee County, Alabama",25571,95,0.37151460639005124
0500000US01021,"Chilton County, Alabama",43430,254,0.5848491825926778
0500000US01023,"Choctaw County, Alabama",12712,104,0.8181246066708621
0500000US01025,"Clarke County, Alabama",23628,142,0.600981885898087
0500000US01027,"Clay County, Alabama",13049,89,0.6820446011188597
0500000US01029,"Cleburne County, Alabama",14644,146,0.9969953564599836
0500000US01031,"Coffee County, Alabama",50898,147,0.2888129199575622
0500000US01033,"Colbert County, Alabama",54248,130,0.23964017106621444
0500000US01035,"Conecuh County, Alabama",12283,120,0.9769600260522674
0500000US01037,"Coosa County, Alabama",10353,139,1.3426060079204094
0500000US01039,"Covington County, Alabama",36348,190,0.5227247716518103
0500000US01041,"Crenshaw County, Alabama",13623,93,0.6826690156353227
0500000US01043,"Cullman County, Alabama",81597,242,0.2965795311102124
0500000US01045,"Dale County, Alabama",47739,357,0.7478162508640733
0500000US01047,"Dallas County, Alabama",38546,173,0.4488144035697608
0500000US01049,"DeKalb County, Alabama",70355,196,0.2785871650913226
0500000US01051,"Elmore County, Alabama",76637,336,0.4384305231154664
0500000US01053,"Escambia County, Alabama",34089,324,0.9504532253806214
0500000US01055,"Etowah County, Alabama",101346,267,0.26345391036646737
0500000US01057,"Fayette County, Alabama",16182,104,0.64268940798418
0500000US01059,"Franklin County, Alabama",30947,209,0.6753481759136588
0500000US01061,"Geneva County, Alabama",26092,70,0.26828146558332056
0500000US01063,"Greene County, Alabama",8242,52,0.6309148264984227
0500000US01065,"Hale County, Alabama",14565,118,0.8101613456917267
0500000US01067,"Henry County, Alabama",16752,99,0.5909742120343839
0500000US01069,"Houston County, Alabama",103568,294,0.28387146608991193
0500000US01071,"Jackson County, Alabama",51312,172,0.33520424072341753
0500000US01073,"Jefferson County, Alabama",645406,651,0.10086674124504574
0500000US01075,"Lamar County, Alabama",13692,69,0.5039439088518843
0500000US01077,"Lauderdale County, Alabama",90346,309,0.342018462355832
0500000US01079,"Lawrence County, Alabama",32753,154,0.4701859371660611
0500000US01081,"Lee County, Alabama",155265,523,0.33684346117927416
0500000US01083,"Limestone County, Alabama",91626,441,0.4813044332394735
0500000US01085,"Lowndes County, Alabama",9936,116,1.1674718196457328
0500000US01087,"Macon County, Alabama",16359,265,1.6199034170792836
0500000US01089,"Madison County, Alabama",352884,645,0.1827796102968681
0500000US01091,"Marengo County, Alabama",19056,100,0.5247691015952981
0500000US01093,"Marion County, Alabama",29386,212,0.7214319744095827
0500000US01095,"Marshall County, Alabama",94283,255,0.2704623314913611
0500000US01097,"Mobile County, Alabama",406137,929,0.2287405481401596
0500000US01099,"Monroe County, Alabama",21004,123,0.5856027423347934
0500000US01101,"Montgomery County, Alabama",219309,637,0.29045775595164813
0500000US01103,"Morgan County, Alabama",117005,439,0.3751976411264476
0500000US01105,"Perry County, Alabama",8468,201,2.3736419461502125
0500000US01107,"Pickens County, Alabama",18506,221,1.1942072841240678
0500000US01109,"Pike County, Alabama",31521,267,0.847054344722566
0500000US01111,"Randolph County, Alabama",22139,137,0.6188174714305072
0500000US01113,"Russell County, Alabama",56885,370,0.6504350883361167
0500000US01115,"St. Clair County, Alabama",85875,256,0.2981077147016012
0500000US01117,"Shelby County, Alabama",210328,368,0.17496481685747975
0500000US01119,"Sumter County, Alabama",11907,181,1.520114218526917
0500000US01121,"Talladega County, Alabama",76886,462,0.6008896288010821
0500000US01123,"Tallapoosa County, Alabama",39978,186,0.4652558907399069
0500000US01125,"Tuscaloosa County, Alabama",196790,673,0.34198892220133137
0500000US01127,"Walker County, Alabama",63036,247,0.3918395837299321
0500000US01129,"Washington County, Alabama",16342,102,0.6241586097172929
0500000US01131,"Wilcox County, Alabama",10352,130,1.2557959814528594
0500000US01133,"Winston County, Alabama",23406,138,0.5895924122019995
0500000US02013,"Aleutians East Borough, Alaska",3378,9,0.2664298401420959
0500000US02016,"Aleutians West Census Area, Alaska",5454,150,2.7502750275027505
0500000US02020,"Anchorage Municipality, Alaska",286504,498,0.1738195627286181
0500000US02050,"Bethel Census Area, Alaska",17622,201,1.1406196799455226
0500000US02060,"Bristol Bay Borough, Alaska",850,80,9.411764705882353
0500000US02068,"Denali Borough, Alaska",2170,390,17.972350230414747
0500000US02070,"Dillingham Census Area, Alaska",4908,21,0.4278728606356968
0500000US02090,"Fairbanks North Star Borough, Alaska",94778,398,0.4199286754310072
0500000US02100,"Haines Borough, Alaska",2470,33,1.3360323886639678
0500000US02105,"Hoonah-Angoon Census Area, Alaska",2138,2,0.09354536950420954
0500000US02110,"Juneau City and Borough, Alaska",31783,88,0.27687757606267505
0500000US02122,"Kenai Peninsula Borough, Alaska",57233,191,0.33372355109814267
0500000US02130,"Ketchikan Gateway Borough, Alaska",13617,46,0.337813027832856
0500000US02150,"Kodiak Island Borough, Alaska",13195,85,0.6441834028040925
0500000US02158,"Kusilvak Census Area, Alaska",8190,27,0.32967032967032966
0500000US02164,"Lake and Peninsula Borough, Alaska",1384,364,26.300578034682083
0500000US02170,"Matanuska-Susitna Borough, Alaska",103218,473,0.45825340541378445
0500000US02180,"Nome Census Area, Alaska",9653,89,0.9219931627473323
0500000US02185,"North Slope Borough, Alaska",9689,91,0.9392094127360924
0500000US02188,"Northwest Arctic Borough, Alaska",7641,31,0.40570605941630683
0500000US02195,"Petersburg Borough, Alaska",3244,10,0.3082614056720099
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",6348,26,0.40957781978575925
0500000US02220,"Sitka City and Borough, Alaska",8438,55,0.6518132258829107
0500000US02230,"Skagway Municipality, Alaska",1098,103,9.380692167577413
0500000US02240,"Southeast Fairbanks Census Area, Alaska",6784,59,0.8696933962264151
0500000US02261,"Valdez-Cordova Census Area, Alaska",9131,55,0.6023436644398205
0500000US02275,"Wrangell City and Borough, Alaska",2478,14,0.5649717514124294
0500000US02282,"Yakutat City and Borough, Alaska",649,89,13.713405238828969
0500000US02290,"Yukon-Koyukuk Census Area, Alaska",5331,33,0.6190208216094542
0500000US04001,"Apache County, Arizona",70403,165,0.23436501285456585
0500000US04003,"Cochise County, Arizona",117255,1094,0.9330092533367448
0500000US04005,"Coconino County, Arizona",128041,1243,0.9707827961356129
0500000US04007,"Gila County, Arizona",52641,295,0.5603996884557664
0500000US04009,"Graham County, Arizona",33980,637,1.8746321365509122
0500000US04011,"Greenlee County, Arizona",9393,58,0.6174811029490046
0500000US04012,"La Paz County, Arizona",20468,137,0.6693375024428375
0500000US04013,"Maricopa County, Arizona",4272832,2526,0.05911769992361038
0500000US04015,"Mohave County, Arizona",203644,877,0.43065349335114217
0500000US04017,"Navajo County, Arizona",106309,329,0.30947520906038056
0500000US04019,"Pima County, Arizona",998061,1286,0.1288498398394487
0500000US04021,"Pinal County, Arizona",405131,1528,0.3771619550219559
0500000US04023,"Santa Cruz County, Arizona",46120,116,0.2515177797051171
0500000US04025,"Yavapai County, Arizona",223134,606,0.2715856839387991
0500000US04027,"Yuma County, Arizona",203812,585,0.28702922300944006
0500000US05001,"Arkansas County, Arkansas",17532,137,0.781428245493954
0500000US05003,"Ashley County, Arkansas",20092,63,0.313557634879554
0500000US05005,"Baxter County, Arkansas",40888,191,0.467129720211309
0500000US05007,"Benton County, Arkansas",262378,518,0.19742508899374184
0500000US05009,"Boone County, Arkansas",36630,234,0.6388206388206389
0500000US05011,"Bradley County, Arkansas",10780,66,0.6122448979591837
0500000US05013,"Calhoun County, Arkansas",5056,27,0.5340189873417721
0500000US05015,"Carroll County, Arkansas",27677,87,0.3143404270694078
0500000US05017,"Chicot County, Arkansas",9944,169,1.6995172968624295
0500000US05019,"Clark County, Arkansas",19798,375,1.8941307202747755
0500000US05021,"Clay County, Arkansas",14703,62,0.42168264979936065
0500000US05023,"Cleburne County, Arkansas",24727,156,0.6308893112791685
0500000US05025,"Cleveland County, Arkansas",8019,84,1.0475121586232696
0500000US05027,"Columbia County, Arkansas",21933,286,1.303971184972416
0500000US05029,"Conway County, Arkansas",20738,83,0.4002314591571029
0500000US05031,"Craighead County, Arkansas",103022,448,0.4348585738968376
0500000US05033,"Crawford County, Arkansas",61833,265,0.4285737389419889
0500000US05035,"Crittenden County, Arkansas",47952,191,0.3983149816483149
0500000US05037,"Cross County, Arkansas",16538,124,0.7497883661869633
0500000US05039,"Dallas County, Arkansas",6516,226,3.468385512584408
0500000US05041,"Desha County, Arkansas",11541,108,0.9357941252924357
0500000US05043,"Drew County, Arkansas",17352,232,1.3370216689718764
0500000US05045,"Faulkner County, Arkansas",118617,485,0.40887899710834025
0500000US05047,"Franklin County, Arkansas",17410,113,0.6490522688110282
0500000US05049,"Fulton County, Arkansas",12028,99,0.8230794812105088
0500000US05051,"Garland County, Arkansas",96855,303,0.3128387796190181
0500000US05053,"Grant County, Arkansas",17875,86,0.4811188811188811
0500000US05055,"Greene County, Arkansas",44080,203,0.4605263157894736
0500000US05057,"Hempstead County, Arkansas",21558,96,0.44531032563317563
0500000US05059,"Hot Spring County, Arkansas",31368,254,0.8097424126498342
0500000US05061,"Howard County, Arkansas",13094,138,1.0539178249579961
0500000US05063,"Independence County, Arkansas",36244,242,0.6676967222160909
0500000US05065,"Izard County, Arkansas",12630,197,1.5597783056215362
0500000US05067,"Jackson County, Arkansas",14325,304,2.1221640488656197
0500000US05069,"Jefferson County, Arkansas",62881,804,1.278605620139629
0500000US05071,"Johnson County, Arkansas",25669,203,0.7908371966184892
0500000US05073,"Lafayette County, Arkansas",6644,72,1.0836845273931366
0500000US05075,"Lawrence County, Arkansas",15960,146,0.9147869674185464
0500000US05077,"Lee County, Arkansas",7547,205,2.7163111170001324
0500000US05079,"Lincoln County, Arkansas",8322,659,7.918769526556116
0500000US05081,"Little River County, Arkansas",12098,123,1.016696974706563
0500000US05083,"Logan County, Arkansas",21351,139,0.6510233712706666
0500000US05085,"Lonoke County, Arkansas",71763,183,0.2550060616194975
0500000US05087,"Madison County, Arkansas",16073,82,0.51017233870465994
0500000US05089,"Marion County, Arkansas",16263,122,0.7501690954928365
0500000US05091,"Miller County, Arkansas",42154,224,0.5313849219528396
0500000US05093,"Mississippi County, Arkansas",41186,198,0.4807458845238673
0500000US05095,"Monroe County, Arkansas",6968,82,1.1768082663605053
0500000US05097,"Montgomery County, Arkansas",8801,108,1.2271332803090558
0500000US05099,"Nevada County, Arkansas",8160,49,0.6004901960784315
